_id,name,salary,link,min_salary,max_salary,currency,source
5f84bd070f267e4e469375dc,Программист-разработчик (python),"[""от "",""100 000"","" до "",""180 000"","" "",""руб."","" на руки""]",https://hh.ru/vacancy/37674249?query=python,100000,180000,руб.,hhru
5f84bd070f267e4e469375dd,Python разработчик,"[""от "",""100 000"","" до "",""130 000"","" "",""руб."","" на руки""]",https://hh.ru/vacancy/38777282?query=python,100000,130000,руб.,hhru
5f84bd070f267e4e469375de,Разработчик Python,"[""з/п не указана""]",https://hh.ru/vacancy/39768574?query=python,none,none,none,hhru
5f84bd070f267e4e469375df,Разработчик Python,"[""з/п не указана""]",https://hh.ru/vacancy/39715108?query=python,none,none,none,hhru
5f84bd070f267e4e469375e0,Программист Python,"[""з/п не указана""]",https://hh.ru/vacancy/37080246?query=python,none,none,none,hhru
5f84bd070f267e4e469375e1,Python разработчик,"[""от "",""20 000"","" до "",""25 000"","" "",""руб."","" на руки""]",https://hh.ru/vacancy/39501494?query=python,20000,25000,руб.,hhru
5f84bd070f267e4e469375e2,Python developer,"[""от "",""150 000"","" до "",""200 000"","" "",""руб."","" на руки""]",https://hh.ru/vacancy/36267171?query=python,150000,200000,руб.,hhru
5f84bd070f267e4e469375e3,Python / Django Mid Developer,"[""от "",""90 000"","" до "",""130 000"","" "",""руб."","" на руки""]",https://hh.ru/vacancy/39595700?query=python,90000,130000,руб.,hhru
5f84bd070f267e4e469375e5,Разработчик Python,"[""до "",""200 000"","" "",""руб."","" на руки""]",https://hh.ru/vacancy/39738380?query=python,none,none,none,hhru
5f84bd070f267e4e469375e6,Data Scientist (Python/ML),"[""з/п не указана""]",https://hh.ru/vacancy/39761983?query=python,none,none,none,hhru
5f84bd070f267e4e469375e7,Middle Разработчик Python / Django удалённо,"[""от "",""60 000"","" до "",""140 000"","" "",""руб."","" на руки""]",https://hh.ru/vacancy/39769884?query=python,60000,140000,руб.,hhru
5f84bd070f267e4e469375e8,Python middle developer,"[""от "",""120 000"","" до "",""160 000"","" "",""руб."","" на руки""]",https://hh.ru/vacancy/36449432?query=python,120000,160000,руб.,hhru
5f84bd080f267e4e469375ec,Data Scientist,"[""от "",""120 000"","" до "",""170 000"","" "",""руб."","" до вычета налогов""]",https://hh.ru/vacancy/39602668?query=python,120000,170000,руб.,hhru
5f84bd080f267e4e469375f0,Django разработчик (удаленка),"[""от "",""50 000"","" до "",""150 000"","" "",""руб."","" на руки""]",https://hh.ru/vacancy/39708846?query=python,50000,150000,руб.,hhru
5f84bd080f267e4e469375f2,Программист Python,"[""з/п не указана""]",https://hh.ru/vacancy/39428507?query=python,none,none,none,hhru
5f84bd080f267e4e469375f3,Программист Python,"[""от "",""100 000"","" до "",""180 000"","" "",""руб."","" на руки""]",https://hh.ru/vacancy/39624176?query=python,100000,180000,руб.,hhru
5f84bd080f267e4e469375f4,Аналитик Python,"[""з/п не указана""]",https://hh.ru/vacancy/39735035?query=python,none,none,none,hhru
5f84bd080f267e4e469375f5,Программист Python,"[""до "",""160 000"","" "",""руб."","" на руки""]",https://hh.ru/vacancy/39278262?query=python,none,none,none,hhru
5f84bd080f267e4e469375f6,Разработчик Python,"[""з/п не указана""]",https://hh.ru/vacancy/37545437?query=python,none,none,none,hhru
5f84bd080f267e4e469375f8,Разработчик Python,"[""з/п не указана""]",https://hh.ru/vacancy/39749516?query=python,none,none,none,hhru
5f84bd080f267e4e469375fa,Python Developer,"[""з/п не указана""]",https://hh.ru/vacancy/39701802?query=python,none,none,none,hhru
5f84bd080f267e4e469375fb,Разработчик Python,"[""з/п не указана""]",https://hh.ru/vacancy/39713131?query=python,none,none,none,hhru
5f84bd080f267e4e469375fc,Разработчик Python,"[""з/п не указана""]",https://hh.ru/vacancy/39743173?query=python,none,none,none,hhru
5f84bd090f267e4e46937601,Программист Python,"[""от "",""120 000"","" до "",""170 000"","" "",""руб."","" до вычета налогов""]",https://hh.ru/vacancy/39329788?query=python,120000,170000,руб.,hhru
5f84bd090f267e4e46937602,Python разработчик,"[""от "",""90 000"","" до "",""120 000"","" "",""руб."","" на руки""]",https://hh.ru/vacancy/37765040?query=python,90000,120000,руб.,hhru
5f84bd090f267e4e46937603,Data Scientist (ML/CV),"[""от "",""180 000"","" до "",""200 000"","" "",""руб."","" на руки""]",https://hh.ru/vacancy/39212305?query=python,180000,200000,руб.,hhru
